Time_ms,Message,Hz
178368,[ACCEL] Step:1806 Hz:5060,5060
178467,[ACCEL] Step:1906 Hz:5151,5151
178568,[DEBUG] RUN START,0
182668,[DECEL] Step:75 Hz:5162,5162
182767,[DECEL] Step:175 Hz:5083,5083
182868,[DECEL] Step:275 Hz:4944,4944
182967,[DECEL] Step:375 Hz:4747,4747
183068,[DECEL] Step:475 Hz:4498,4498
183268,[DECEL] Step:575 Hz:4203,4203
183368,[DECEL] Step:675 Hz:3868,3868
183468,[DECEL] Step:775 Hz:3503,3503
183568,[DECEL] Step:875 Hz:3115,3115
183668,[DECEL] Step:975 Hz:2716,2716
183767,[DECEL] Step:1075 Hz:2314,2314
183968,[DECEL] Step:1175 Hz:1919,1919
184068,[DECEL] Step:1275 Hz:1541,1541
184168,[DECEL] Step:1375 Hz:1190,1190
184268,[DECEL] Step:1475 Hz:874,874
184367,[DECEL] Step:1575 Hz:601,601
184468,[DECEL] Step:1675 Hz:377,377
184668,[DECEL] Step:1775 Hz:209,209
184767,[DECEL] Step:1875 Hz:100,100
184868,[DECEL] Step:1975 Hz:52,52
184868,[DEBUG] IDLE (Motor OFF),0
230869,[ACCEL] Step:23 Hz:51,51
230969,[ACCEL] Step:123 Hz:97,97
231068,[ACCEL] Step:223 Hz:205,205
231168,[ACCEL] Step:323 Hz:373,373
231269,[ACCEL] Step:423 Hz:595,595
231468,[ACCEL] Step:523 Hz:867,867
231569,[ACCEL] Step:623 Hz:1183,1183
231668,[ACCEL] Step:723 Hz:1533,1533
231768,[ACCEL] Step:823 Hz:1910,1910
231868,[ACCEL] Step:923 Hz:2305,2305
231968,[ACCEL] Step:1023 Hz:2707,2707
232169,[ACCEL] Step:1123 Hz:3106,3106
232269,[ACCEL] Step:1223 Hz:3494,3494
232368,[ACCEL] Step:1323 Hz:3860,3860
232468,[ACCEL] Step:1423 Hz:4195,4195
232568,[ACCEL] Step:1523 Hz:4492,4492
232669,[ACCEL] Step:1623 Hz:4742,4742
232869,[ACCEL] Step:1723 Hz:4940,4940
232969,[ACCEL] Step:1823 Hz:5080,5080
233068,[ACCEL] Step:1923 Hz:5160,5160
233169,[DEBUG] RUN START,0
237668,[DECEL] Step:60 Hz:5168,5168
237867,[DECEL] Step:160 Hz:5099,5099
237967,[DECEL] Step:260 Hz:4969,4969
238068,[DECEL] Step:360 Hz:4780,4780
238168,[DECEL] Step:460 Hz:4539,4539
238268,[DECEL] Step:560 Hz:4250,4250
238467,[DECEL] Step:660 Hz:3920,3920
238568,[DECEL] Step:760 Hz:3559,3559
238668,[DECEL] Step:860 Hz:3174,3174
238768,[DECEL] Step:960 Hz:2776,2776
238868,[DECEL] Step:1060 Hz:2374,2374
238967,[DECEL] Step:1160 Hz:1977,1977
239168,[DECEL] Step:1260 Hz:1597,1597
239267,[DECEL] Step:1360 Hz:1241,1241
239368,[DECEL] Step:1460 Hz:919,919
239467,[DECEL] Step:1560 Hz:639,639
239567,[DECEL] Step:1660 Hz:408,408
239668,[DECEL] Step:1760 Hz:231,231
239868,[DECEL] Step:1860 Hz:112,112
239968,[DECEL] Step:1960 Hz:56,56
239968,[DEBUG] IDLE (Motor OFF),0
337068,[ACCEL] Step:89 Hz:75,75
337169,[ACCEL] Step:189 Hz:162,162
337269,[ACCEL] Step:289 Hz:309,309
337469,[ACCEL] Step:389 Hz:514,514
337568,[ACCEL] Step:489 Hz:770,770
337669,[ACCEL] Step:589 Hz:1071,1071
337769,[ACCEL] Step:689 Hz:1410,1410
337869,[ACCEL] Step:789 Hz:1780,1780
337969,[ACCEL] Step:889 Hz:2169,2169
338168,[ACCEL] Step:989 Hz:2570,2570
338269,[ACCEL] Step:1089 Hz:2971,2971
338368,[ACCEL] Step:1189 Hz:3364,3364
338469,[ACCEL] Step:1289 Hz:3739,3739
338568,[ACCEL] Step:1389 Hz:4085,4085
338668,[ACCEL] Step:1489 Hz:4396,4396
338869,[ACCEL] Step:1589 Hz:4662,4662
338969,[ACCEL] Step:1689 Hz:4879,4879
339069,[ACCEL] Step:1789 Hz:5039,5039
339169,[ACCEL] Step:1889 Hz:5140,5140
339268,[ACCEL] Step:1989 Hz:5178,5178
339268,[DEBUG] RUN START,0
360270,[DECEL] Step:8 Hz:5179,5179
360369,[DECEL] Step:108 Hz:5143,5143
360468,[DECEL] Step:208 Hz:5044,5044
360569,[DECEL] Step:308 Hz:4885,4885
360668,[DECEL] Step:408 Hz:4671,4671
360768,[DECEL] Step:508 Hz:4405,4405
360968,[DECEL] Step:608 Hz:4096,4096
361068,[DECEL] Step:708 Hz:3750,3750
361168,[DECEL] Step:808 Hz:3377,3377
361269,[DECEL] Step:908 Hz:2984,2984
361368,[DECEL] Step:1008 Hz:2583,2583
361569,[DECEL] Step:1108 Hz:2182,2182
361669,[DECEL] Step:1208 Hz:1792,1792
361769,[DECEL] Step:1308 Hz:1422,1422
361869,[DECEL] Step:1408 Hz:1082,1082
361969,[DECEL] Step:1508 Hz:779,779
362068,[DECEL] Step:1608 Hz:521,521
362269,[DECEL] Step:1708 Hz:316,316
362369,[DECEL] Step:1808 Hz:166,166
362469,[DECEL] Step:1908 Hz:77,77
362569,[DEBUG] IDLE (Motor OFF),0
363868,[ACCEL] Step:10 Hz:50,50
363970,[ACCEL] Step:110 Hz:88,88
364069,[ACCEL] Step:210 Hz:188,188
364170,[ACCEL] Step:310 Hz:348,348
364270,[ACCEL] Step:410 Hz:563,563
364370,[ACCEL] Step:510 Hz:829,829
364570,[ACCEL] Step:610 Hz:1139,1139
364669,[ACCEL] Step:710 Hz:1486,1486
364769,[ACCEL] Step:810 Hz:1860,1860
364870,[ACCEL] Step:910 Hz:2253,2253
364970,[ACCEL] Step:1010 Hz:2654,2654
365170,[ACCEL] Step:1110 Hz:3055,3055
365270,[ACCEL] Step:1210 Hz:3445,3445
365369,[ACCEL] Step:1310 Hz:3814,3814
365470,[ACCEL] Step:1410 Hz:4154,4154
365570,[ACCEL] Step:1510 Hz:4456,4456
365670,[ACCEL] Step:1610 Hz:4712,4712
365870,[ACCEL] Step:1710 Hz:4917,4917
365969,[ACCEL] Step:1810 Hz:5065,5065
366069,[ACCEL] Step:1910 Hz:5153,5153
366169,[DEBUG] RUN START,0
367569,[DECEL] Step:46 Hz:5173,5173
367671,[DECEL] Step:146 Hz:5112,5112
367771,[DECEL] Step:246 Hz:4990,4990
367971,[DECEL] Step:346 Hz:4810,4810
368071,[DECEL] Step:446 Hz:4575,4575
368170,[DECEL] Step:546 Hz:4293,4293
368271,[DECEL] Step:646 Hz:3969,3969
368371,[DECEL] Step:746 Hz:3611,3611
368470,[DECEL] Step:846 Hz:3229,3229
368671,[DECEL] Step:946 Hz:2832,2832
368771,[DECEL] Step:1046 Hz:2430,2430
368871,[DECEL] Step:1146 Hz:2032,2032
368971,[DECEL] Step:1246 Hz:1649,1649
369071,[DECEL] Step:1346 Hz:1289,1289
369171,[DECEL] Step:1446 Hz:962,962
369371,[DECEL] Step:1546 Hz:675,675
369471,[DECEL] Step:1646 Hz:437,437
369571,[DECEL] Step:1746 Hz:252,252
369671,[DECEL] Step:1846 Hz:125,125
369771,[DECEL] Step:1946 Hz:60,60
369870,[DEBUG] IDLE (Motor OFF),0
